Date,House Price,House Price (Adjusted Inflation)
1994 Q1,"£51,327","£99,822"
1994 Q2,"£51,362","£98,162"
1994 Q3,"£51,731","£98,799"
1994 Q4,"£52,114","£98,914"
1995 Q1,"£51,084","£96,101"
1995 Q2,"£51,633","£95,380"
1995 Q3,"£51,334","£94,574"
1995 Q4,"£50,930","£93,705"
1996 Q1,"£51,367","£94,008"
1996 Q2,"£53,032","£95,848"
1996 Q3,"£54,008","£97,421"
1996 Q4,"£55,169","£98,934"
1997 Q1,"£55,810","£99,486"
1997 Q2,"£58,403","£102,798"
1997 Q3,"£60,754","£105,901"
1997 Q4,"£61,830","£106,921"
1998 Q1,"£62,903","£108,439"
1998 Q2,"£65,221","£110,389"
1998 Q3,"£66,366","£111,961"
1998 Q4,"£66,313","£111,373"
1999 Q1,"£67,478","£113,813"
1999 Q2,"£70,010","£116,847"
1999 Q3,"£72,362","£120,676"
1999 Q4,"£74,638","£123,551"
2000 Q1,"£77,698","£128,104"
2000 Q2,"£81,202","£131,449"
2000 Q3,"£80,935","£130,788"
2000 Q4,"£81,628","£131,063"
2001 Q1,"£83,976","£134,991"
2001 Q2,"£87,638","£139,175"
2001 Q3,"£91,049","£144,509"
2001 Q4,"£92,533","£147,034"
2002 Q1,"£95,356","£151,432"
2002 Q2,"£103,501","£162,406"
2002 Q3,"£110,830","£173,315"
2002 Q4,"£115,940","£179,679"
2003 Q1,"£119,938","£184,837"
2003 Q2,"£125,382","£190,989"
2003 Q3,"£129,761","£197,115"
2003 Q4,"£133,903","£202,184"
2004 Q1,"£139,027","£208,893"
2004 Q2,"£148,462","£220,076"
2004 Q3,"£153,482","£226,182"
2004 Q4,"£152,464","£222,545"
2005 Q1,"£152,790","£222,433"
2005 Q2,"£157,494","£226,652"
2005 Q3,"£157,627","£226,019"
2005 Q4,"£157,387","£224,393"
2006 Q1,"£160,319","£227,985"
2006 Q2,"£165,035","£230,653"
2006 Q3,"£168,460","£233,432"
2006 Q4,"£172,065","£235,940"
2007 Q1,"£175,554","£238,828"
2007 Q2,"£181,810","£243,383"
2007 Q3,"£184,131","£245,537"
2007 Q4,"£183,959","£242,151"
2008 Q1,"£179,363","£234,647"
2008 Q2,"£174,514","£223,850"
2008 Q3,"£165,188","£209,841"
2008 Q4,"£156,828","£200,977"
2009 Q1,"£149,709","£196,039"
2009 Q2,"£154,066","£200,131"
2009 Q3,"£160,159","£206,299"
2009 Q4,"£162,116","£206,413"
2010 Q1,"£162,887","£205,125"
2010 Q2,"£168,719","£208,477"
2010 Q3,"£167,354","£205,869"
2010 Q4,"£162,971","£198,269"
2011 Q1,"£162,379","£194,212"
2011 Q2,"£166,764","£196,060"
2011 Q3,"£166,597","£194,786"
2011 Q4,"£164,785","£190,729"
2012 Q1,"£162,722","£187,555"
2012 Q2,"£164,955","£188,088"
2012 Q3,"£163,910","£186,205"
2012 Q4,"£162,924","£182,903"
2013 Q1,"£163,056","£182,015"
2013 Q2,"£167,294","£185,026"
2013 Q3,"£170,918","£188,130"
2013 Q4,"£174,444","£190,795"
2014 Q1,"£178,124","£193,745"
2014 Q2,"£186,544","£201,239"
2014 Q3,"£188,810","£202,970"
2014 Q4,"£189,002","£202,781"
2015 Q1,"£188,566","£203,102"
2015 Q2,"£194,258","£207,534"
2015 Q3,"£195,733","£208,464"
2015 Q4,"£197,044","£209,296"
2016 Q1,"£198,564","£210,911"
2016 Q2,"£204,238","£215,117"
2016 Q3,"£206,346","£215,692"
2016 Q4,"£205,937","£213,968"
2017 Q1,"£206,665","£213,201"
2017 Q2,"£209,971","£213,580"
2017 Q3,"£211,672","£213,190"
2017 Q4,"£211,433","£211,433"
